"chainId","blockNumber","blockHash","transactionHash","accountAddress","subTransactions","timestamp","datetimeString","gasPrice","isFromTransfer","name","tokenAddress","gasUsed","iconUrl","transactionIndex","indexed","symbol","toAddress","object","fromAddress","createdAt","cumulativeGasUsed","value","updatedAt","nonce","gas","decimals","coingeckoId","logIndex","transactionCategory","status","methodId","maxPriorityFeePerGas","gasFeeEth","transactionType","valueDisplay","isError","nativeAssetPriceUsd","valueUsd","effectiveGasPrice","gasFeeUsd","maxFeePerGas","contractAddress","type","tokenId"
"137","37915670","0x9175b8c37b44d6de38310411b5be2c1828af3fe6bdda67916114b1f3bec0fc6f","0x6bddd31acce4f45bb54563a29a21cae380aa15918bafd173a569a6a1c4418057","0x6b175474e89094c44da98b954eedeac495271d0f","[object Object]","1673382722","2023-01-10T20:32:02.000Z","64705898146","false","USD Coin (PoS)","0x2791bca1f2de4661ed88a30c99a7a9449aa84174","6745807","https://tokens.1inch.io/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.png","17","true","USDC","0x6b175474e89094c44da98b954eedeac495271d0f","erc20Transaction","0x848ff2a5179c96167b271673f7bb6597233f5f9e","2023-01-10T20:35:28.221Z","12049999","48642","2023-01-10T20:35:28.221Z","972","10134073","6","usd-coin","346","TRANSFER","","","","","","","","","","","","","","",""
"137","37901918","0xb554c3e9651389ed5b50a9fb1c71594859e0471603a8236a306e1f625a15ec1c","0xb28c997e210d08e15435b34b856359901950359ea22769584402ad7ec3b839cb","0x6b175474e89094c44da98b954eedeac495271d0f","","1673354149","2023-01-10T12:35:49.000Z","53431819834","false","","","21560","","61","true","","0x6b175474e89094c44da98b954eedeac495271d0f","transaction","0x545425f9686b56078da3bfac5f9f25bb287b1291","2023-01-10T12:39:27.472Z","9508128","0","2023-01-10T12:39:27.472Z","2814","32340","","","","CONTRACT_CALL","1","0x095ea7b3","30055281930","0.00115199003562104","GENERIC_CONTRACT_CALL","0","false","0.8409134341510067","0","53431819834","0.0009687238969618294","63577460265","","2",""
"137","37891125","0x32ce3589cdc68391a529adfb454c8ca19ce87bdaae244a79ae1e632b906243c8","0xc2821da6134ea6854fd345f4afd97528bbec7456db3419cd6bd83dd8ee6308c0","0x6b175474e89094c44da98b954eedeac495271d0f","","1673331528","2023-01-10T06:18:48.000Z","57227061736","false","","","21944","","58","true","","0x6b175474e89094c44da98b954eedeac495271d0f","transaction","0x4aef125f93eeb192372b6a7aaa07d663d05680de","2023-01-10T06:22:25.200Z","14150895","0","2023-01-10T06:22:25.200Z","16","24138","","","","CONTRACT_CALL","1","0x095ea7b3","30273492455","0.0012557906427347841","GENERIC_CONTRACT_CALL","0","false","0.8501822545368442","0","57227061736","0.0010676509198665313","69333810561","","2",""
"137","37891002","0x6fcf0382d65d8e911027999186ecd15cc3fb48dc1e8bc791b2c04bc041caf9e9","0x1bf636dd5a1c37c6ce3d2e27666376312769da18afbc6c32fd66c16862966b8b","0x6b175474e89094c44da98b954eedeac495271d0f","","1673331274","2023-01-10T06:14:34.000Z","47120811139","false","","","21560","","63","true","","0x6b175474e89094c44da98b954eedeac495271d0f","transaction","0x545425f9686b56078da3bfac5f9f25bb287b1291","2023-01-10T06:17:29.266Z","9755302","0","2023-01-10T06:17:29.266Z","2776","32340","","","","CONTRACT_CALL","1","0x095ea7b3","30000000000","0.00101592468815684","GENERIC_CONTRACT_CALL","0","false","0.8497110919024228","0","47120811139","0.0008632424760643769","51872098723","","2",""
"137","37890236","0x2ee4668014d4e1aa235e6202698c21d5c0c2221b6dae9c67dd6190370541c983","0x4aa090dd5844e8b6ca08991c27934094a3a7b1f3f91749fb9d431ed8ef5af779","0x6b175474e89094c44da98b954eedeac495271d0f","","1673329687","2023-01-10T05:48:07.000Z","44474576952","false","","","21560","","41","true","","0x6b175474e89094c44da98b954eedeac495271d0f","transaction","0x545425f9686b56078da3bfac5f9f25bb287b1291","2023-01-10T05:51:27.618Z","14119220","0","2023-01-10T05:51:27.618Z","2772","32340","","","","CONTRACT_CALL","1","0x095ea7b3","30000000000","0.00095887187908512","GENERIC_CONTRACT_CALL","0","false","0.8495605556098454","0","44474576952","0.0008146197263542111","51661223150","","2",""
"137","37829082","0xba065f830638c4a186c613b2d44620535eea313544d6a219c2ced3dbbb42163d","0x34c45be5261e35c4d52258ab8e8eae251299dd4b6b4b68ef02f6862b619cac88","0x6b175474e89094c44da98b954eedeac495271d0f","","1673195552","2023-01-08T16:32:32.000Z","61000000000","false","","","21632","","42","true","","0x6b175474e89094c44da98b954eedeac495271d0f","transaction","0xe4303cb6b7c751ba7e010f74a83a82425604c4f8","2023-01-08T16:36:28.888Z","5089279","0","2023-01-08T16:36:28.888Z","2","23795","","","","CONTRACT_CALL","1","0xa9059cbb","61000000000","0.001319552","GENERIC_CONTRACT_CALL","0","false","0.8084326496511665","0","61000000000","0.001066768919712496","61000000000","","2",""
"137","37675419","0x1ee2faa84012852701440e4bc88673c28ecb8aca88ef29144249a0481685d56d","0x37f2523fbe21266ce333a630cc64092fb43e7b95d571921e8af7a5e3758abe4b","0x6b175474e89094c44da98b954eedeac495271d0f","","1672865246","2023-01-04T20:47:26.000Z","50760702817","false","","","21560","","45","true","","0x6b175474e89094c44da98b954eedeac495271d0f","transaction","0x67dfed344cd96bf002c402defc50a480e7acd2e7","2023-01-04T20:51:27.321Z","6922686","0","2023-01-04T20:51:27.321Z","87","21560","","","","CONTRACT_CALL","1","0x095ea7b3","30000000000","0.00109440075273452","GENERIC_CONTRACT_CALL","0","false","0.798683018590164","0","50760702817","0.0008740792967413542","60816141972","","2",""
"43114","24379610","0xd8a5f0bb4df79c740607088677dba1904f9cc61a8eafcfc31b9280d6c7252204","0xaf8a0c131a6d66f7a31b3c46e7cf731c4ee6905b458a05008021313400909b78","0x6b175474e89094c44da98b954eedeac495271d0f","","1672572128","2023-01-01T11:22:08.000Z","42164073764","false","","","21680","","5","true","","0x6b175474e89094c44da98b954eedeac495271d0f","transaction","0xa6528e1e00dabcc59121c79f4ae1922f7f2e6610","2023-01-01T11:23:24.366Z","4823891","0","2023-01-01T11:23:24.366Z","15","46194","","","","CONTRACT_CALL","1","0x095ea7b3","2425000000","0.00091411711920352","GENERIC_CONTRACT_CALL","0","false","10.730533483534279","0","42164073764","0.009808964355485266","59518187413","","2",""
"137","37536210","0x0807eaee03e0873221c9404a80795b8500aec8858cee270fd371ee1fe312c5ff","0xa25025f9cf1411aa5429890bd65af81a98638664b5c74c96fce7e53bce761cc7","0x6b175474e89094c44da98b954eedeac495271d0f","","1672564788","2023-01-01T09:19:48.000Z","39613393021","false","","","21944","","73","true","","0x6b175474e89094c44da98b954eedeac495271d0f","transaction","0x4df46c869d9c607b86c1ba699d695e1c6b4f1953","2023-01-01T09:23:24.676Z","13886039","0","2023-01-01T09:23:24.676Z","144","21944","","","","CONTRACT_CALL","1","0x095ea7b3","30000000000","0.000869276296452824","GENERIC_CONTRACT_CALL","0","false","0.7541725364902724","0","39613393021","0.0006555843094066962","43728337216","","2",""
"137","37462496","0x1a070cc2ad1f25ab4354aaeac52c6fdd13bdc3555d8334e0d8b14653f1a99eb9","0x963308c93f3f5213f0faefde201691a74773aa1a45e8cb04974d8e329c837e77","0x6b175474e89094c44da98b954eedeac495271d0f","","1672407920","2022-12-30T13:45:20.000Z","50000000000","false","","","21644","","94","true","","0x6b175474e89094c44da98b954eedeac495271d0f","transaction","0x772bd1786c427c8e08d5cf3d2cdbcc9b408255bc","2022-12-30T13:48:27.554Z","13795629","0","2022-12-30T13:48:27.554Z","15","23808","","","","CONTRACT_CALL","1","0xa9059cbb","50000000000","0.0010822","GENERIC_CONTRACT_CALL","0","false","0.7555935153452368","0","50000000000","0.0008177033023066152","50000000000","","2",""
